id_channel;id_video;ymd_hms_video;tweet
UCDgj5-mFohWZ5irWSFMFcng;o5nyjGfucfU;2021-06-18T16:44:08Z;"New #rstats video: R-Ladies Chicago (English) - First Steps in Spatial Data visualization- Dorris Scott
By R-Ladies Global
https://www.youtube.com/watch?v=o5nyjGfucfU"
UCMdihazndR0f9XBoSXWqnYg;cXlhN0F4YOE;2021-06-18T16:00:28Z;"New #rstats video: R - Linguistic Geography with Multidimensional Scaling
By Statistics of DOOM
https://www.youtube.com/watch?v=cXlhN0F4YOE"
UCGuktEl5InrcxPfCjmPWxsA;kTRcQrwAgrs;2021-06-18T16:00:24Z;"New #rstats video: Juneteenth 2021: Using ggplot2 and R to create a map showing the history of lynchings (CC117)
By Riffomonas Project
https://www.youtube.com/watch?v=kTRcQrwAgrs"
UCwQ7lkY6YWzZjT807Itbvtw;o2pZgoMeaWA;2021-06-18T03:56:24Z;"New #rstats video: More shinycal development around the {clock} package!
By Shiny DeveloperSeries
https://www.youtube.com/watch?v=o2pZgoMeaWA"
UCwLy_PYrnCEhCU-Ay2F5Drw;3RkBEva4xRk;2021-06-17T19:11:17Z;"New #rstats video: Why R? Webinar 046 - Genomics @ Cloud with R
By Why R? Foundation
https://www.youtube.com/watch?v=3RkBEva4xRk"
UCF9ymC7Dpjwr0lge2QR_A5Q;8l70djhwk2E;2021-06-17T16:20:37Z;"New #rstats video: webin-R #20 : Trajectoires de soins, un exemple de données longitudinales (4)
By webin-R
https://www.youtube.com/watch?v=8l70djhwk2E"
UCPzO5TjnYnBzfUVj6fI3pdw;NyY3lo6Tc6E;2021-06-18T18:51:37Z;"New #rstats video: How to Import and Export Data in Python using Pandas
By Vivian Codes
https://www.youtube.com/watch?v=NyY3lo6Tc6E"
UCCaChdLMTYMxyawR_Qf-kYA;M71Ey5Ikf4Y;2021-06-19T22:25:35Z;"New #rstats video: Tidy Modeling with R Book Club: Chapter 15: Screening Many Models (2021-06-06) (tmwr02)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=M71Ey5Ikf4Y"
UCCaChdLMTYMxyawR_Qf-kYA;Pdm9G8nfR1g;2021-06-19T22:11:55Z;"New #rstats video: Tidy Modeling with R Book Club: Stacks Again! (2021-06-01) (tmwr01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=Pdm9G8nfR1g"
UCCaChdLMTYMxyawR_Qf-kYA;J8rZ1u4PhM8;2021-06-19T21:42:40Z;"New #rstats video: Tidy Modeling with R Book Club: Stacks! (2021-05-25) (tmwr01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=J8rZ1u4PhM8"
UCCaChdLMTYMxyawR_Qf-kYA;tU_GRVUCbx0;2021-06-19T19:16:15Z;"New #rstats video: R for Data Science Book Club: Chapter 27: R Markdown (2021-06-16) (r4ds04)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=tU_GRVUCbx0"
