id_channel;name_channel;id_twitter
UC_R5smHVXRYGhZYDJsnXTwg;R Consortium;RConsortium
UCysnKC1GQycHyOSZ_7Ob9vw;R for Ecologists;lukanegoita
UCSoUNu8x-HblqqOK_EwdZGw;R for the Rest of Us;rfortherest
UCIwS122xl4mjhw5TdK_K9Rw;R in Action;Parag52659626
UCA2w7SQxsYH0NKGS8vmAqbg;R in Grenoble;
UCT2TrH2M4zbRJZMH6iusyBQ;R in Pharma;rinpharma
UCYuJ4Q65HlyQKO5cZXg7qDw;R Ladies Ankara;RLadiesAnkara
UCB7N0JYEOoT2IPLuImsx-3w;R Ladies Bogor;RLadiesBogor
UCPPJGnA5GWIppotd_gbRqXA;R Ladies Niterói;rladiesniteroi
UCDCOvchmfUW7gFP5CrSIXrw;R Ladies POA;RLadiesPOA
UCQ7DcXWJm3es06U7lGmBDkw;R Ladies STL;RLadiesSTL
UCUIQ5XmiPA8OmjEks1YiD5w;R Ladies Sonora;RLadies_Sonora
UCCRIHidGlMgADMkGrl8eKiQ;R Lille;RLille_RUG
UCxdCZGywhd2R5BiOP8vOgqg;R Programming - DDS;ddata_script
UCfJyQ3P2k_SuqfxVdqIEQNw;R Programming 101;101Programming
UC6wfyYnDaebrARFWhWdcItA;R Stats;
UCybzXlZh--K4XRs48s72tnw;R stats;
UCyxpzGd_imyk0VD_Yv0JwNQ;rstats_aficionadas;McconnellKyla
UCG1_1eqe_KvoVByZeFFFErQ;R Users Gal;R_usersGal
UC8bO8eVpfEK8LbqH0oxyc3Q;R User Group at Harvard Data Science Initiative;RUGatHDSI
UC_8_NCqWecqv8zjQE4ZwRwA;R User Group Nepal;rugnepal
UC-nYzfrbDhiA03hww0PCpXg;R Users Group - Ecuador;users_group
UCCaChdLMTYMxyawR_Qf-kYA;R4DS Online Learning Community;R4DScommunity
UCdFC653IaBVC5kwj7CGo2sQ;RappA;rappa753
UCGuktEl5InrcxPfCjmPWxsA;Riffomonas Project;PatSchloss
UCrmJdnPmle514qkK3lLOsVQ;RJ Studio;
UCJpq9UV9k12H8j3D5ba7y-g;RLadies Algiers;RLadiesAlgiers
UCtpGCWyRdscfs6KflWjACKw;RLadies Belo Horizonte;RLadiesBH
UCFT7Tgi7UAzR-eyzjoxBzxA;RLadies Cuernavaca;RLadiesCuerna
UCvt6lv8yMrBV8YgsAoQykHw;RLadies Goiânia;rladiesgyn
UC8yKJ1YfBipuyzvn4ciaNRQ;RLadies Medellin;RLadiesMedellin
UCrG34lup96IfDweTSDkPHDA;RLadies Mexico;
UCaEblc_jq-64PGroox6EALg;Rladies Natal;RLadiesNatal
UCrT2YmRak5iRXI_-RyXtEuA;RLadies Querétaro;RLadies_Qro
UCmxRvwPXXLdcv_lWkIqB1yA;RLadies Ribeirão Preto;rladiesrp
UCF4fux_L7cMhA4ojOx8B1HQ;RLadies San José CR;rladies_sjcr
UCOFcXLjW9atcEuCa5kbOPSw;RLadies Santa Fe;RLadiesSantaFe
UCU3ePTnZQurDkYgPK61DAOw;RLadies São Paulo;RLadiesSaoPaulo
UCkrf5iL8ef1QHe--zstechA;RLadies Sydney;RLadiesSydney
UCjNXtKLVdEpImICqNERE9cQ;R Para Todos;
UCv3be7W260HXd2BoK9KihMQ;ronak shah;shahronak47
UC3xfbCMLCw1Hh4dWop3XtHg;Posit PBC;posit_pbc
UCISHpKq_20peU3G1xwtXjjQ;Samer Hijjazi;SamerHijjazi
UCnYkdhuQljgCnGNpCZpPfVA;Samuel Leanza - WebTutorDiMatematica;
UCTKiybNLjigMcV7_22Hiz0A;Salt City Data Community;saltcitydata
UCcKPp7AI7ZTBf60WqXo3Bpg;Salt Lake City R Users Group;slcrug
UC7VV1Ix1-8jncW7hTRZ50bg;satRday Neuchâtel;satRdayNeuCH
UCYgIy7zeC7v6iZhx0-NywBw;satRdays;satRdays_org
UCwVLSVjjZgR5U3a9SuPZKzw;Schilling Data Studio;datavizjenn
UCDozrYAxG1rTopPRA6GVYAg;ScitecEducation;
UC911C0LKoMMwn3cHV2wSN1g;SER SEMINÁRIO INTERNACIONAL DE ESTATÍSTICA COM R;
UCwQ7lkY6YWzZjT807Itbvtw;Shiny DeveloperSeries;theRcast
UCOdX7FBvpMPknrC6gtm0y_w;Southern California R Users Group;oc_rug
UCrB-uourf2vxGeBnGjQrA0w;STAT 545;STAT545
UCC0n35R84-ufqPstR1YtCxA;Stat Pharm;
UCg4rv97QEhN-2gvLhrGMgEw;Statplace;Statplace1
UCfu2GCdjq50W-kL-cv3rcLw;Statistics & Theory;VahidAryadoust
UCXgpDUq8cVyEj3ZbZcKtkbA;Statistical Learning Group;
UCs7EU95YMjhvNozJKCD92xQ;Statistics for Sustainable Development (Stats4SD);Stats4SD
UCyHEww8_SCdxZvEnkCfi55w;Statistics Globe;JoachimSchork
UCpjsdW-snzkUAx0lvqTJ7WA;Statistics Guides with Dr Paul Christiansen;ChristiansenLiv
UCZ38Wl2wAhrdZs_KaESMmiQ;Statistics in Yoruba;
UC-qm48zb2P7NVxk-tBa7MFg;Statistics Lectures UNIL: Peter Hilpert;
UCMdihazndR0f9XBoSXWqnYg;Statistics of DOOM;aggieerin
UC5FvzLMVNrTMW-ycrW-4KyA;Statistics Playbook;
UCKMekE_4UfWvZDuBWenG8WA;StatistikinDD;StatistikInDD
UCf4yYuw5nkmixgA-KT3euHw;Stats For All;StatsForBios
UChDkZclaUz_a0ZqcI5u2u_w;statsguidetree;
UCyWGeP-J1I0Xasd62QumS3w;Stephen Carden;
UC2M4LiU11tjZfL86yfufSKA;Sukaesi Marianti;
UCY66vV1WTk_2lHg24cuJrtg;The Data Digest;DigestData
UCE3OyQLmrQ5tnKc9qDIZbtw;ThinkR Rstats;thinkR_fr
UCT9SgxpakGSH-yfRj_QhzIQ;Thomas Lin Pedersen;thomasp85
UCvCEl2-_Q2gGxqisyYngXIA;Thomas Mock;thomas_mock
UCP8l94xtoemCH_GxByvTuFQ;TidyX;tidy_explained
